NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
2781,Protected,,4+6,,
2782,Protected,,4+6,,
2783,Protected,,4+6,,
2784,Protected,,4+6,,
2785,Protected,,4+6,,
2786,Protected,,4+6,,
2787,Protected,,4+6,,
2788,Protected,,4+6,,
2789,Protected,,4+6,,
2790,Protected,,4+6,,
2791,Protected,,4+6,,
2792,Protected,,4+6,,
2793,Protected,,4+6,,
2794,Protected,,4+6,,
2795,Protected,,4+6,,
2796,Protected,,4+6,,
2797,Protected,,4+6,,
2798,Protected,,4+6,,
2799,Protected,,4+6,,
2822,Protected,,2+8,,
2823,Protected,,2+8,,
2824,Protected,,2+8,,
2826,Protected,,2+8,,
2831,Protected,,2+8,,
2832,Protected,,2+8,,
2833,Protected,,2+8,,
2834,Protected,,2+8,,
2835,Protected,,2+8,,
2836,Protected,,2+8,,
2839,Protected,,2+8,,
2845,Protected,,2+8,,
2846,Protected,,2+8,,
2847,Protected,,2+8,,
2848,Protected,,2+8,,
2849,Protected,,2+8,,
2850,Protected,,2+8,,
2851,Protected,,2+8,,
2852,Protected,,2+8,,
2853,Protected,,2+8,,
2854,Protected,,2+8,,
2855,Protected,,2+8,,
2856,Protected,,2+8,,
2857,Protected,,2+8,,
2858,Protected,,2+8,,
2859,Protected,,2+8,,
2860,Protected,,2+8,,
2861,Protected,,2+8,,
2862,Protected,,2+8,,
2863,Protected,,2+8,,
2864,Protected,,2+8,,
2865,Protected,,2+8,,
2869,Protected,,2+8,,
2873,Protected,,2+8,,
2874,Protected,,2+8,,
2875,Protected,,2+8,,
2876,Protected,,2+8,,
2878,Protected,,2+8,,
2883,Protected,,2+8,,
2884,Protected,,2+8,,
2888,Protected,,2+8,,
2898,Protected,,2+8,,
2899,Protected,,4+6,,
2999,Protected,,4+6,,
1130 00,Allocated,Virgin Media Limited,(0)+10,15/06/2000,
1130 01,Protected,,(0)+10,,
1130 02,Protected,,(0)+10,,
1130 03,Allocated,Virgin Media Limited,(0)+10,28/01/2003,
1130 04,Allocated,Virgin Media Limited,(0)+10,28/01/2003,
1130 05,Protected,,(0)+10,,
1130 06,Protected,,(0)+10,,
1130 07,Protected,,(0)+10,,
1130 08,Protected,,(0)+10,,
1130 09,Protected,,(0)+10,,
1130 10,Protected,,(0)+10,,
1130 11,Protected,,(0)+10,,
1130 12,Protected,,(0)+10,,
1130 13,Protected,,(0)+10,,
1130 14,Protected,,(0)+10,,
1130 15,Protected,,(0)+10,,
1130 16,Protected,,(0)+10,,
1130 17,Protected,,(0)+10,,
1130 18,Protected,,(0)+10,,
1130 19,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 20,Protected,,(0)+10,,
1130 21,Protected,,(0)+10,,
1130 22,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 23,Protected,,(0)+10,,
1130 24,Protected,,(0)+10,,
1130 25,Protected,,(0)+10,,
1130 26,Protected,,(0)+10,,
1130 27,Protected,,(0)+10,,
1130 28,Protected,,(0)+10,,
1130 29,Protected,,(0)+10,,
1130 30,Protected,,(0)+10,,
1130 31,Protected,,(0)+10,,
1130 32,Protected,,(0)+10,,
1130 33,Protected,,(0)+10,,
1130 34,Protected,,(0)+10,,
1130 35,Protected,,(0)+10,,
1130 36,Protected,,(0)+10,,
1130 37,Protected,,(0)+10,,
1130 38,Protected,,(0)+10,,
1130 39,Protected,,(0)+10,,
1130 40,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
1130 41,Allocated,GCI Network Solutions Limited,(0)+10,26/02/2024,
