NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
3004 82,Allocated,Syntec Limited,10 digit numbers,17/06/2016,
3004 83,Free,,10 digit numbers,,
3004 84,Free,,10 digit numbers,,
3004 85,Free,,10 digit numbers,,
3004 86,Free,,10 digit numbers,,
3004 87,Free,,10 digit numbers,,
3004 88,Free,,10 digit numbers,,
3004 89,Free,,10 digit numbers,,
3004 90,Free,,10 digit numbers,,
3004 91,Free,,10 digit numbers,,
3004 92,Free,,10 digit numbers,,
3004 93,Free,,10 digit numbers,,
3004 94,Free,,10 digit numbers,,
3004 95,Free,,10 digit numbers,,
3004 96,Free,,10 digit numbers,,
3004 97,Free,,10 digit numbers,,
3004 98,Free,,10 digit numbers,,
3004 99,Free,,10 digit numbers,,
3005 00,Allocated,TalkTalk Communications Limited,10 digit numbers,14/10/2013,
3005 01,Free,,10 digit numbers,,
3005 02,Free,,10 digit numbers,,
3005 03,Free,,10 digit numbers,,
3005 04,Free,,10 digit numbers,,
3005 05,Allocated,Sigma Voice Solutions Ltd,10 digit numbers,14/05/2014,
